53917KNEW NEW20190401000011504/01/19 00:00:31  5-MIN KNEW 010600Z AUTO 05019G26KT 10SM CLR 12/04 A3021 -250 58 -600 050/19G26 RMK AO2 T01170039
53917KNEW NEW20190401000512204/01/19 00:05:31  5-MIN KNEW 010605Z AUTO 05017G26KT 10SM CLR 12/04 A3021 -250 61 -600 050/17G26 RMK AO2 PRESFR T01170044
53917KNEW NEW20190401001010904/01/19 00:10:31  5-MIN KNEW 010610Z AUTO 06018KT 10SM CLR 12/04 A3021 -250 58 -600 060/18 RMK AO2 T01170039
53917KNEW NEW20190401001510904/01/19 00:15:31  5-MIN KNEW 010615Z AUTO 06017KT 10SM CLR 12/04 A3020 -240 58 -600 060/17 RMK AO2 T01170039
53917KNEW NEW20190401002010904/01/19 00:20:31  5-MIN KNEW 010620Z AUTO 06016KT 10SM CLR 12/04 A3020 -250 61 -600 060/16 RMK AO2 T01170044
53917KNEW NEW20190401002510904/01/19 00:25:31  5-MIN KNEW 010625Z AUTO 06018KT 10SM CLR 12/04 A3021 -250 58 -600 060/18 RMK AO2 T01170039
53917KNEW NEW20190401003010904/01/19 00:30:31  5-MIN KNEW 010630Z AUTO 06018KT 10SM CLR 12/03 A3021 -250 56 -600 060/18 RMK AO2 T01170033
53917KNEW NEW20190401003510904/01/19 00:35:31  5-MIN KNEW 010635Z AUTO 06016KT 10SM CLR 12/03 A3021 -250 56 -600 060/16 RMK AO2 T01170033
53917KNEW NEW20190401004010904/01/19 00:40:31  5-MIN KNEW 010640Z AUTO 05016KT 10SM CLR 12/03 A3021 -250 56 -600 050/16 RMK AO2 T01170033
53917KNEW NEW20190401004511504/01/19 00:45:31  5-MIN KNEW 010645Z AUTO 06017G22KT 10SM CLR 12/03 A3019 -230 56 -600 060/17G22 RMK AO2 T01170033
53917KNEW NEW20190401005011604/01/19 00:50:31  5-MIN KNEW 010650Z AUTO 06018KT 10SM CLR 12/03 A3019 -230 56 -600 060/18 RMK AO2 SLP216 T01170033
53917KNEW NEW20190401005510904/01/19 00:55:31  5-MIN KNEW 010655Z AUTO 06018KT 10SM CLR 12/03 A3019 -230 56 -600 060/18 RMK AO2 T01170033
53917KNEW NEW20190401010010904/01/19 01:00:31  5-MIN KNEW 010700Z AUTO 06016KT 10SM CLR 12/03 A3019 -230 56 -600 060/16 RMK AO2 T01170033
53917KNEW NEW20190401010510904/01/19 01:05:31  5-MIN KNEW 010705Z AUTO 07016KT 10SM CLR 12/03 A3019 -230 56 -600 070/16 RMK AO2 T01170033
53917KNEW NEW20190401011010904/01/19 01:10:31  5-MIN KNEW 010710Z AUTO 06018KT 10SM CLR 12/03 A3019 -230 56 -600 060/18 RMK AO2 T01170033
53917KNEW NEW20190401011510904/01/19 01:15:31  5-MIN KNEW 010715Z AUTO 07015KT 10SM CLR 11/03 A3018 -230 58 -700 070/15 RMK AO2 T01110033
53917KNEW NEW20190401012010904/01/19 01:20:31  5-MIN KNEW 010720Z AUTO 05017KT 10SM CLR 12/03 A3018 -230 56 -600 050/17 RMK AO2 T01170033
53917KNEW NEW20190401012510904/01/19 01:25:31  5-MIN KNEW 010725Z AUTO 05019KT 10SM CLR 12/03 A3018 -220 56 -600 050/19 RMK AO2 T01170033
53917KNEW NEW20190401013010904/01/19 01:30:31  5-MIN KNEW 010730Z AUTO 05018KT 10SM CLR 12/03 A3018 -230 56 -600 050/18 RMK AO2 T01170033
53917KNEW NEW20190401013510904/01/19 01:35:31  5-MIN KNEW 010735Z AUTO 05019KT 10SM CLR 12/03 A3018 -230 56 -600 050/19 RMK AO2 T01170033
53917KNEW NEW20190401014010904/01/19 01:40:31  5-MIN KNEW 010740Z AUTO 05015KT 10SM CLR 12/04 A3018 -230 58 -600 050/15 RMK AO2 T01170039
