Master Location Identifier Database (MLID) - Standard Version,,,,,,,,,,,,,,,,,,,
Edition 2021.06 | June 2021 | Series E | Effective dates: FAA: 2021-05-20 | ICAO: 2021-05-20 (AIRAC 2105) | WMO: 2021-06-15,,,,,,,,,,,,,,,,,,,
©2010-2021 Weather Graphics / www.weathergraphics.com / servicedesk@weathergraphics.com / All rights reserved,,,,,,,,,,,,,,,,,,,
"This database is not approved for navigational use.  Rows marked with x"" in the status column are obsolete and for historical reference only. For complete information on this data, refer to the documentation at: www.weathergraphics.com/identifiers",,,,,,,,,,,,,,,,,,,
country3,country2,country,region,subregion,place_name,station_name,notes,type,stn_key,status,icao,national_id,wmo,wban,ghcn,special,lat,lon,elev
USA,US,United States,LA,Vermilion Parish,Abbeville|Grosse Isle,Abbeville Chris Crusta Memorial,ADD/20120209.,,USfxxIYA,-,KIYA,IYA,,,,,29.975778,-92.084222,4.6
USA,US,United States,LA,Vermilion Parish,Abbeville|Grosse Isle,Abbeville Chris Crusta Memorial AP,,,USaaK0R3,-,K0R3,0R3,,,,,29.97577778,-92.08422222,4.9
USA,US,United States,LA,Rapides Parish,Alexandria|Green Gables,Esler Field,,,USaaKESF,-,KESF,ESF,,13935,USW00013935,,31.394903,-92.295772,33.8
USA,US,United States,LA,Rapides Parish,Alexandria|Weil,Alexandria Intl AP,Alexandria Intl AP. New listing.,,USaaKAEX,-,KAEX,AEX,74754,93915,USW00093915,,31.327372,-92.548556,26.8
USA,US,United States,LA,Bienville Parish,Arcadia,Arcadia,,,USw93939,-,,,,93939,USW00093939,,32.5167,-92.9167,122
USA,US,United States,LA,Bienville Parish,Arcadia,Arcadia-bienville Parish,,,USfxx5F0,-,K5F0,5F0,,,,,32.53070778,-92.95404778,134.1
USA,US,United States,LA,Morehouse Parish,Bastrop,Morehouse,,,USaaKBQP,-,KBQP,BQP,,53992,USW00053992,,32.756083,-91.880583,50.9
USA,US,United States,LA,East Baton Rouge Parish,Baton Rouge|Liberty Farms,Metropolitan AP | Ryan Field AP | Harding AAF,,,USaaKBTR,-,KBTR,BTR,72232,13970,USW00013970,,30.532917,-91.149889,21
USA,US,United States,LA,Saint Charles Parish,Bayou Gauche,Bayou Gauche,,,USs99736,-,,,99736,,,,29.767,-90.417,8
USA,US,United States,LA,Saint Charles Parish,Bayou Labranch|La Branche,Bayou Labranch,,,UScBAYOL,-,,,,,,,30.05,-90.367,11
USA,US,United States,LA,Washington Parish,Bogalusa|Mitch (historical),George R Carr Memorial Air Field,,,USaaKBXA,-,KBXA,BXA,,,,,30.813686,-89.864964,36.3
USA,US,United States,LA,Plaquemines Parish,Boothville,Boothville,,,,-,K1B7,,72002,,,,29.35,-89.433,1
USA,US,United States,LA,Plaquemines Parish,Boothville,Boothville,,,,-,K1B7,,72002,,,,29.35,-89.43,1
USA,US,United States,LA,East Baton Rouge Parish,Boothville,Boothville,,,USaaKBVE,-,KBVE,BVE,,12884,USW00012884,,29.35,-89.43,0.9
USA,US,United States,LA,Plaquemines,Boothville,Boothville,ADD/20180815.,,USfxxLNQ,-,KLNQ,LNQ,,,,,29.35414,-89.43591,0.9
USA,US,United States,LA,Saint Landry Parish,Bristol,Kibs Air Park,,,USfxxL89,-,KL89,L89,,,,,30.38131056,-92.14595667,15.5
USA,US,United States,LA,Rapides Parish,Bunkie|Bubenzer,Bunkie Muni,,,USfxx2R6,-,K2R6,2R6,,,,,30.95674722,-92.23409972,18.9
USA,US,United States,LA,Harrison County,Buoy|Biloxi,Buoy,,,USs99212,-,,,99212,,,DB/212 CMAN/42007,30.1,-88.9,0
USA,US,United States,LA,Cameron Parish,Buoy|Peveto Beach,Buoy,,,USs99225,-,,,99225,,,DB/225 CMAN/42011,29.6,-93.5,0
USA,US,United States,LA,Plaquemines Parish,Burrwood|Burrwood (historical),Burrwood,,,USw12807,-,,,,12807,USW00012807,,28.95,-89.3667,5
USA,US,United States,LA,Plaquemines Parish,Burrwood|Burrwood (historical),WB (1950s-60s),WBAN and ICAO of Boothville used as key so WBAN could be used for upper air data.,,USw12863,-,,,,12863,USW00012863,,28.967,-89.383,4
USA,US,United States,LA,Rapides Parish,Claiborne Range|Woodworth,Claiborne Range AFS,,,USaaK01R,-,K01R,01R,74755,3939,USW00003939,,31.13333333,-92.56666667,72
USA,US,United States,LA,Caldwell Parish,Columbia|Bellevue,Columbia,,,USfxxF86,-,KF86,F86,,,,,32.12216667,-92.0545,20.1
USA,US,United States,LA,Red River Parish,Coushatta,The Red River AP,,,USfxx0R7,-,K0R7,0R7,,,,,31.990275,-93.30760833,54
USA,US,United States,LA,Saint Tammany Parish,Covington,Covington,,,USw03905,-,,,,3905,USW00003905,,30.4833,-90.1,12
USA,US,United States,LA,Saint Tammany Parish,Covington|Abita Springs,St. Tammany Rgnl,,,USfxxL31,-,KL31,L31,,,,,30.44505417,-89.98887889,11.9
USA,US,United States,LA,Acadia Parish,Crowley|Midland,Le Gros Memorial,,,USfxx3R2,-,K3R2,3R2,,,,,30.16173611,-92.48396111,4.3
USA,US,United States,LA,Calcasieu Parish,De Quincy|Westwood,De Quincy Industrial Airpark,,,USfxx5R8,-,K5R8,5R8,,,,,30.44117222,-93.47349722,25
USA,US,United States,LA,Beauregard Parish,De Ridder Aab|Holiday Mobile Home Park,De Ridder Aab,,,USw13937,-,,,,13937,USW00013937,,30.8333,-93.3667,61
USA,US,United States,LA,Beauregard Parish,De Ridder|Holiday Mobile Home Park,Beauregard Parish AP,,,USaaKDRI,-,KDRI,DRI,,3976,USW00003976,,30.831722,-93.339917,61.3
USA,US,United States,LA,Madison Parish,Delhi|County Landing,Delhi Muni,,,USfxx0M9,-,K0M9,0M9,,,,,32.41072222,-91.49852778,27.7
USA,US,United States,LA,-,Environm Buoy 42040,Environm Buoy 42040,,,USs99500,-,,,99500,,,BUOY/500,29.183,-88.2,0
USA,US,United States,LA,Saint Landry Parish,Eunice,Eunice,,,USfxx4R7,-,K4R7,4R7,,,,,30.46628389,-92.42379917,12.8
USA,US,United States,LA,Union Parish,Farmerville|Moselys Bluff,Union Parish,,,USfxxF87,-,KF87,F87,,,,,32.72495583,-92.33716583,36.9
USA,US,United States,LA,Vernon Parish,Fort Polk,Fort Polk,,,USaaKPOE,-,KPOE,POE,72239,3931,USW00003931,,31.044789,-93.191642,100.6
USA,US,United States,LA,Vernon Parish,Fort Polk|Hicks,Self Strip,,,USaaKDNK,-,KDNK,DNK,,63903,USW00063903,,31.1136,-92.9656,114
