TAB_NAME,COL_NAME,CODE,DESCRIPTION,,,
CRASH_TB,ACCESS_CNTL_CD,A,NO CONTROL (UNLIMITED ACCESS TO ROADWAY),,,
CRASH_TB,ACCESS_CNTL_CD,B,PARTIAL CONTROL (LIMITED ACCESS TO ROADWAY),,,
CRASH_TB,ACCESS_CNTL_CD,C,FULL CONTROL (ONLY RAMP ENTRANCE & EXIT),,,
CRASH_TB,ACCESS_CNTL_CD,Y,UNKNOWN,,,
CRASH_TB,ACCESS_CNTL_CD,Z,OTHER,,,
CRASH_TB,ALIGNMENT_CD,A,STRAIGHT-LEVEL,,,
CRASH_TB,ALIGNMENT_CD,B,STRAIGHT-LEVEL-ELEVATED,,,
CRASH_TB,ALIGNMENT_CD,C,CURVE-LEVEL,,,
CRASH_TB,ALIGNMENT_CD,D,CURVE-LEVEL-ELEVATED,,,
CRASH_TB,ALIGNMENT_CD,E,ON GRADE-STRAIGHT,,,
CRASH_TB,ALIGNMENT_CD,F,ON GRADE-CURVE,,,
CRASH_TB,ALIGNMENT_CD,G,HILLCREST-STRAIGHT,,,
CRASH_TB,ALIGNMENT_CD,H,HILLCREST-CURVE,,,
CRASH_TB,ALIGNMENT_CD,I,"DIP, HUMP-STRAIGHT",,,
CRASH_TB,ALIGNMENT_CD,J,"DIP, HUMP-CURVE",,,
CRASH_TB,ALIGNMENT_CD,Y,UNKNOWN,,,
CRASH_TB,ALIGNMENT_CD,Z,OTHER,,,
CRASH_TB,HWY_TYPE_CD,A,INTERSTATE,,,
CRASH_TB,HWY_TYPE_CD,B,U.S. HWY,,,
CRASH_TB,HWY_TYPE_CD,C,STATE HWY,,,
CRASH_TB,HWY_TYPE_CD,D,PARISH ROAD,,,
CRASH_TB,HWY_TYPE_CD,E,CITY STREET,,,
CRASH_TB,HWY_TYPE_CD,F,OFF ROAD/PRIVATE PROPERTY,,,
CRASH_TB,HWY_TYPE_CD,G,TOLL ROAD,,,
CRASH_TB,INVEST_AGENCY_CD,A,STATE,,,
CRASH_TB,INVEST_AGENCY_CD,B,CITY,,,
CRASH_TB,INVEST_AGENCY_CD,C,PARISH,,,
CRASH_TB,INVEST_AGENCY_CD,Z,OTHER,,,
CRASH_TB,LIGHTING_CD,A,DAYLIGHT,,,
CRASH_TB,LIGHTING_CD,B,DARK - NO STREET LIGHTS,,,
CRASH_TB,LIGHTING_CD,C,DARK - CONTINUOUS STREET LIGHT,,,
CRASH_TB,LIGHTING_CD,D,DARK - STREET LIGHT AT INTERSECTION ONLY,,,
CRASH_TB,LIGHTING_CD,E,DUSK,,,
CRASH_TB,LIGHTING_CD,F,DAWN,,,
CRASH_TB,LIGHTING_CD,Y,UNKNOWN,,,
CRASH_TB,LIGHTING_CD,Z,OTHER,,,
CRASH_TB,LOC_TYPE_CD,A,MANUFACTURING OR INDUSTRIAL,,,
CRASH_TB,LOC_TYPE_CD,B,BUSINESS CONTINUOUS,,,
CRASH_TB,LOC_TYPE_CD,C,"BUSINESS, MIXED RESIDENTIAL",,,
CRASH_TB,LOC_TYPE_CD,D,RESIDENTIAL DISTRICT,,,
CRASH_TB,LOC_TYPE_CD,E,RESIDENTIAL SCATTERED,,,
CRASH_TB,LOC_TYPE_CD,F,SCHOOL OR PLAYGROUND,,,
CRASH_TB,LOC_TYPE_CD,G,OPEN COUNTRY,,,
CRASH_TB,LOC_TYPE_CD,Z,OTHER,,,
CRASH_TB,MAN_COLL_CD,A,NON-COLLISION WITH MOTOR VEHICLE,,,
CRASH_TB,MAN_COLL_CD,B,REAR END,,,
CRASH_TB,MAN_COLL_CD,C,HEAD-ON,,,
CRASH_TB,MAN_COLL_CD,D,RIGHT ANGLE,,,
CRASH_TB,MAN_COLL_CD,E,LEFT TURN - ANGLE,,,
CRASH_TB,MAN_COLL_CD,F,LEFT TURN - OPPOSITE DIRECTION,,,
CRASH_TB,MAN_COLL_CD,G,LEFT TURN - SAME DIRECTION,,,
CRASH_TB,MAN_COLL_CD,H,RIGHT TURN - SAME DIRECTION,,,
CRASH_TB,MAN_COLL_CD,I,RIGHT TURN - OPPOSITE DIRECTION,,,
CRASH_TB,MAN_COLL_CD,J,SIDESWIPE - SAME DIRECTION,,,
CRASH_TB,MAN_COLL_CD,K,SIDESWIPE - OPPOSITE DIRECTION,,,
CRASH_TB,MAN_COLL_CD,Z,OTHER,,,
CRASH_TB,PARISH_CD,01,ACADIA,,,
CRASH_TB,PARISH_CD,02,ALLEN,,,
CRASH_TB,PARISH_CD,03,ASCENSION,,,
CRASH_TB,PARISH_CD,04,ASSUMPTION,,,
CRASH_TB,PARISH_CD,05,AVOYELLES,,,
CRASH_TB,PARISH_CD,06,BEAUREGARD,,,
CRASH_TB,PARISH_CD,07,BEINVILLE,,,
CRASH_TB,PARISH_CD,08,BOSSIER,,,
CRASH_TB,PARISH_CD,09,CADDO,,,
CRASH_TB,PARISH_CD,10,CALCASIEU,,,
CRASH_TB,PARISH_CD,11,CALDWELL,,,
CRASH_TB,PARISH_CD,12,CAMERON,,,
CRASH_TB,PARISH_CD,13,CATAHOULA,,,
CRASH_TB,PARISH_CD,14,CLAIBORNE,,,
CRASH_TB,PARISH_CD,15,CONCORDIA,,,
CRASH_TB,PARISH_CD,16,DESOTO,,,
CRASH_TB,PARISH_CD,17,EAST BATON ROUGE,,,
CRASH_TB,PARISH_CD,18,EAST CARROLL,,,
CRASH_TB,PARISH_CD,19,EAST FELICIANA,,,
CRASH_TB,PARISH_CD,20,EVANGELINE,,,
CRASH_TB,PARISH_CD,21,FRANKLIN,,,
CRASH_TB,PARISH_CD,22,GRANT,,,
CRASH_TB,PARISH_CD,23,IBERIA,,,
CRASH_TB,PARISH_CD,24,IBERVILLE,,,
CRASH_TB,PARISH_CD,25,JACKSON,,,
CRASH_TB,PARISH_CD,26,JEFFERSON,,,
CRASH_TB,PARISH_CD,27,JEFFERSON DAVIS,,,
CRASH_TB,PARISH_CD,28,LAFAYETTE,,,
CRASH_TB,PARISH_CD,29,LAFOURCHE,,,
CRASH_TB,PARISH_CD,30,LASALLE,,,
CRASH_TB,PARISH_CD,31,LINCOLN,,,
CRASH_TB,PARISH_CD,32,LIVINGSTON,,,
CRASH_TB,PARISH_CD,33,MADISON,,,
CRASH_TB,PARISH_CD,34,MOREHOUSE,,,
CRASH_TB,PARISH_CD,35,NATCHITOCHES,,,
CRASH_TB,PARISH_CD,36,ORLEANS,,,
CRASH_TB,PARISH_CD,37,OUACHITA,,,
CRASH_TB,PARISH_CD,38,PLAQUEMINES,,,
CRASH_TB,PARISH_CD,39,POINT COUPEE,,,
CRASH_TB,PARISH_CD,40,RAPIDES,,,
CRASH_TB,PARISH_CD,41,RED RIVER,,,
CRASH_TB,PARISH_CD,42,RICHLAND,,,
CRASH_TB,PARISH_CD,43,SABINE,,,
CRASH_TB,PARISH_CD,44,ST. BERNARD,,,
CRASH_TB,PARISH_CD,45,ST. CHARLES,,,
CRASH_TB,PARISH_CD,46,ST. HELENA,,,
CRASH_TB,PARISH_CD,47,ST. JAMES,,,
CRASH_TB,PARISH_CD,48,ST. JOHN THE BAPTIST,,,
CRASH_TB,PARISH_CD,49,ST. LANDRY,,,
CRASH_TB,PARISH_CD,50,ST. MARTIN,,,
CRASH_TB,PARISH_CD,51,ST. MARY,,,
CRASH_TB,PARISH_CD,52,ST. TAMMANY,,,
CRASH_TB,PARISH_CD,53,TANGIPAHOA,,,
CRASH_TB,PARISH_CD,54,TENSAS,,,
CRASH_TB,PARISH_CD,55,TERREBONNE,,,
CRASH_TB,PARISH_CD,56,UNION,,,
CRASH_TB,PARISH_CD,57,VERMILLION,,,
CRASH_TB,PARISH_CD,58,VERNON,,,
CRASH_TB,PARISH_CD,59,WASHINGTON,,,
CRASH_TB,PARISH_CD,60,WEBSTER,,,
CRASH_TB,PARISH_CD,61,WEST BATON ROUGE,,,
CRASH_TB,PARISH_CD,62,WEST CARROLL,,,
CRASH_TB,PARISH_CD,63,WEST FELICIANA,,,
CRASH_TB,PARISH_CD,64,WINN,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,A,VIOLATIONS,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,B,MOVEMENT PRIOR TO CRASH,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,C,VISION OBSCUREMENTS,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,D,CONDITION OF DRIVER,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,E,VEHICLE CONDITIONS,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,F,ROAD SURFACE,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,G,ROADWAY CONDITION,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,H,LIGHTING,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,I,WEATHER,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,J,TRAFFIC CONTROL,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,K,KIND OF LOCATION,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,L,CONDITION OF PEDESTRIAN,,,
CRASH_TB,PRI_CONTRIB_FAC_CD,M,PEDESTRIAN ACTIONS,,,
CRASH_TB,ROAD_COND_CD,A,NO ABNORMALITIES,,,
CRASH_TB,ROAD_COND_CD,B,SHOULDER ABNORMALITY,,,
CRASH_TB,ROAD_COND_CD,C,HOLES,,,
CRASH_TB,ROAD_COND_CD,D,DEEP RUTS,,,
CRASH_TB,ROAD_COND_CD,E,BUMPS,,,
CRASH_TB,ROAD_COND_CD,F,LOOSE SURFACE MATERIAL,,,
CRASH_TB,ROAD_COND_CD,G,"CONSTRUCTION, REPAIR",,,
CRASH_TB,ROAD_COND_CD,H,OVERHEAD CLEARANCE LIMITED,,,
CRASH_TB,ROAD_COND_CD,I,CONSTRUCTION - NO WARNING,,,
